Smiles,Nr. of heavy atoms,mols,Formal Charge,Nr_of_wildcards
*c1cc(C#Cc2c(F)c(F)c(F)c(F)c2F)c(*)cn1,19,<rdkit.Chem.rdchem.Mol object at 0x7f73b7fb5000>,0,2
*C(=Nc1ccc([N+](=O)[O-])c(*)c1)c1ccc(C)s1,17,<rdkit.Chem.rdchem.Mol object at 0x7f73b7fb50e0>,0,2
*c1c(N=Cc2ccc(C)s2)ccc([N+](=O)[O-])c1*,17,<rdkit.Chem.rdchem.Mol object at 0x7f73b7fb6f10>,0,2
*c1cnc(P(C(C)(C)C)C(C)(C)C)n1*,14,<rdkit.Chem.rdchem.Mol object at 0x7f73b7fd28f0>,0,2
*c1cc2c(cc1*)S(=O)(=O)N(C)C2=O,13,<rdkit.Chem.rdchem.Mol object at 0x7f73b7fd17e0>,0,2
*c1c(C#N)cc2c(c1*)N1CCC2CC1,14,<rdkit.Chem.rdchem.Mol object at 0x7f73b7fd1460>,0,2
*c1cc2c(*)cc1CCNC(=O)c1cncc(c1)C(=O)NCC2,22,<rdkit.Chem.rdchem.Mol object at 0x7f73b7fd0e40>,0,2
*c1ccc(*)c(C2=NNC(O)C2)c1,12,<rdkit.Chem.rdchem.Mol object at 0x7f73b7fd06d0>,0,2
*c1ccc(C2=NNC(O)C2)c(*)c1,12,<rdkit.Chem.rdchem.Mol object at 0x7f73b7ff0c80>,0,2
*c1cc(Cl)c(C(=NO)c2c(C)n(C)n(*)c2=O)c(Cl)c1,19,<rdkit.Chem.rdchem.Mol object at 0x7f73b7ff1af0>,0,2
*c1cc(*)c2c(n1)C(Cl)(Cl)SC2=O,12,<rdkit.Chem.rdchem.Mol object at 0x7f73b7ff0580>,0,2
*c1ccc(C=NCCCCN=Cc2ccc(*)cc2)cc1,20,<rdkit.Chem.rdchem.Mol object at 0x7f73b7ff2ff0>,0,2
*c1ccc2c(=O)c(*)coc2c1,11,<rdkit.Chem.rdchem.Mol object at 0x7f73b7ff1bd0>,0,2
*c1ccc(*)c(Nn2nnc(C=O)c2C)c1,15,<rdkit.Chem.rdchem.Mol object at 0x7f73b7ff1a80>,0,2
*C(=O)c1nnn(Nc2ccccc2*)c1C,15,<rdkit.Chem.rdchem.Mol object at 0x7f73b7ff0c10>,0,2
*c1cc(*)c2oc(C)c(S(=O)(=O)c3ccc(Br)cc3)c2c1,20,<rdkit.Chem.rdchem.Mol object at 0x7f73bc145770>,0,2
*c1c[nH]c(=O)n1*,6,<rdkit.Chem.rdchem.Mol object at 0x7f73bc1461f0>,0,2
*c1cn(*)c(=O)[nH]1,6,<rdkit.Chem.rdchem.Mol object at 0x7f73bc144970>,0,2
*n1ccn(*)c1=O,6,<rdkit.Chem.rdchem.Mol object at 0x7f73bc1444a0>,0,2
*c1[nH]c(=O)[nH]c1*,6,<rdkit.Chem.rdchem.Mol object at 0x7f73bc145310>,0,2
